年度,縣市,用電性質,用電比例,,
2021,金門縣,工業,12.06,,
2021,金門縣,其他,1.09,,
2021,連江縣,住宅,36.37,,
2021,連江縣,服務業,41.13,,
2021,連江縣,機關(政府+包燈+大專院校),12.52,,
2021,連江縣,工業,9.88,,
2021,連江縣,其他,0.1,,
2020,新北市,住宅,41.16,,
2020,新北市,服務業,27.41,,
2020,新北市,機關(政府+包燈+大專院校),3.11,,
2020,新北市,工業,28.19,,
2020,新北市,其他,0.14,,
2020,台北市,住宅,33.31,,
2020,台北市,服務業,54.29,,
2020,台北市,機關(政府+包燈+大專院校),8.54,,
2020,台北市,工業,3.77,,
2020,台北市,其他,0.1,,
2020,桃園市,住宅,17.45,,
2020,桃園市,服務業,14.65,,
2020,桃園市,機關(政府+包燈+大專院校),2,,
2020,桃園市,工業,65.72,,
2020,桃園市,其他,0.19,,
2020,台中市,住宅,18.88,,
2020,台中市,服務業,16,,
2020,台中市,機關(政府+包燈+大專院校),2.14,,
2020,台中市,工業,62.44,,
2020,台中市,其他,0.53,,
2020,台南市,住宅,14.06,,
2020,台南市,服務業,9.93,,
2020,台南市,機關(政府+包燈+大專院校),1.69,,
2020,台南市,工業,72.85,,
2020,台南市,其他,1.48,,
2020,高雄市,住宅,19.42,,
2020,高雄市,服務業,17.26,,
2020,高雄市,機關(政府+包燈+大專院校),2.97,,
2020,高雄市,工業,59.51,,
2020,高雄市,其他,0.84,,
2020,宜蘭縣,住宅,27.04,,
2020,宜蘭縣,服務業,21.74,,
2020,宜蘭縣,機關(政府+包燈+大專院校),4.1,,
2020,宜蘭縣,工業,45.04,,
2020,宜蘭縣,其他,2.09,,
2020,新竹縣,住宅,13.01,,
2020,新竹縣,服務業,8.99,,
2020,新竹縣,機關(政府+包燈+大專院校),1.42,,
2020,新竹縣,工業,76.34,,
2020,新竹縣,其他,0.24,,
2020,苗栗縣,住宅,15.14,,
2020,苗栗縣,服務業,9.29,,
2020,苗栗縣,機關(政府+包燈+大專院校),1.96,,
2020,苗栗縣,工業,73.12,,
2020,苗栗縣,其他,0.48,,
2020,彰化縣,住宅,22.02,,
2020,彰化縣,服務業,16.99,,
2020,彰化縣,機關(政府+包燈+大專院校),2.35,,
2020,彰化縣,工業,54.16,,
2020,彰化縣,其他,4.48,,
2020,南投縣,住宅,31.1,,
2020,南投縣,服務業,20.7,,
2020,南投縣,機關(政府+包燈+大專院校),4.46,,
2020,南投縣,工業,40.08,,
2020,南投縣,其他,3.66,,
2020,雲林縣,住宅,24.39,,
2020,雲林縣,服務業,13.57,,
2020,雲林縣,機關(政府+包燈+大專院校),2.98,,
2020,雲林縣,工業,51.69,,
2020,雲林縣,其他,7.36,,
2020,嘉義縣,住宅,31.83,,
2020,嘉義縣,服務業,16.43,,
2020,嘉義縣,機關(政府+包燈+大專院校),5.04,,
2020,嘉義縣,工業,37.07,,
2020,嘉義縣,其他,9.63,,
2020,屏東縣,住宅,33.63,,
2020,屏東縣,服務業,21.17,,
2020,屏東縣,機關(政府+包燈+大專院校),4.55,,
2020,屏東縣,工業,25.17,,
2020,屏東縣,其他,15.48,,
2020,台東縣,住宅,41.24,,
2020,台東縣,服務業,36.06,,
2020,台東縣,機關(政府+包燈+大專院校),7.82,,
2020,台東縣,工業,11.92,,
2020,台東縣,其他,2.96,,
2020,花蓮縣,住宅,26.96,,
2020,花蓮縣,服務業,26.54,,
2020,花蓮縣,機關(政府+包燈+大專院校),6.62,,
2020,花蓮縣,工業,38.77,,
2020,花蓮縣,其他,1.1,,
2020,基隆市,住宅,47.5,,
2020,基隆市,服務業,32.5,,
2020,基隆市,機關(政府+包燈+大專院校),5.38,,
2020,基隆市,工業,14.62,,
2020,基隆市,其他,0.01,,
2020,新竹市,住宅,9.71,,
2020,新竹市,服務業,11.1,,
2020,新竹市,機關(政府+包燈+大專院校),2.18,,
2020,新竹市,工業,76.91,,
